,날짜,서울황사일수
666,2013-07,0
667,2013-08,0
668,2013-09,0
669,2013-10,0
670,2013-11,0
671,2013-12,0
672,2014-01,1
673,2014-02,1
674,2014-03,2
675,2014-04,0
676,2014-05,4
677,2014-06,0
678,2014-07,0
679,2014-08,0
680,2014-09,0
681,2014-10,0
682,2014-11,1
683,2014-12,1
684,2015-01,1
685,2015-02,4
686,2015-03,8
687,2015-04,2
688,2015-05,0
689,2015-06,0
690,2015-07,0
691,2015-08,0
692,2015-09,0
693,2015-10,0
694,2015-11,0
695,2015-12,0
696,2016-01,0
697,2016-02,0
698,2016-03,2
699,2016-04,4
700,2016-05,1
701,2016-06,0
702,2016-07,0
703,2016-08,0
704,2016-09,0
705,2016-10,0
706,2016-11,0
707,2016-12,0
708,2017-01,1
709,2017-02,0
710,2017-03,0
711,2017-04,1
712,2017-05,5
713,2017-06,0
714,2017-07,0
715,2017-08,0
716,2017-09,0
717,2017-10,0
718,2017-11,3
719,2017-12,0
720,2018-01,0
721,2018-02,0
722,2018-03,0
723,2018-04,2
724,2018-05,1
725,2018-06,0
726,2018-07,0
727,2018-08,0
728,2018-09,0
729,2018-10,0
730,2018-11,2
731,2018-12,0
732,2019-01,0
733,2019-02,0
734,2019-03,0
735,2019-04,0
736,2019-05,0
737,2019-06,0
738,2019-07,0
739,2019-08,0
740,2019-09,0
741,2019-10,1
742,2019-11,2
743,2019-12,0
744,2020-01,0
745,2020-02,1
746,2020-03,0
747,2020-04,1
748,2020-05,1
749,2020-06,0
750,2020-07,0
751,2020-08,0
752,2020-09,0
753,2020-10,1
754,2020-11,2
755,2020-12,0
756,2021-01,2
757,2021-02,0
758,2021-03,5
759,2021-04,2
760,2021-05,5
761,2021-06,0
762,2021-07,0
763,2021-08,0
764,2021-09,0
765,2021-10,0
766,2021-11,0
767,2021-12,0
